Date,number_of_tweets,avg_vader_sentiment_score
2009-05-04,1,0.4767
2009-05-05,1,0.7506
2009-05-08,2,0.30575
2009-05-12,2,0.24045
2009-05-13,1,0.7506
2009-05-14,1,0.2023
2009-05-15,1,0.7506
2009-05-16,1,0.0
2009-05-17,1,0.7717
2009-05-18,1,0.802
2009-05-19,1,0.0
2009-05-20,2,0.6249
2009-05-22,2,0.3972
2009-05-23,1,0.3182
2009-05-26,1,0.3612
2009-05-27,1,0.7506
2009-05-28,1,0.0
2009-06-03,1,0.0
2009-06-05,1,0.3935
2009-06-08,1,0.7506
2009-06-14,1,0.1531
2009-06-15,1,0.7269
2009-06-18,1,-0.2263
2009-06-21,1,0.8591
2009-06-23,1,0.3182
2009-06-24,1,0.0
2009-06-26,1,0.5106
2009-06-30,1,0.4215
2009-07-04,1,0.8689
2009-07-13,1,0.3818
2009-07-15,1,-0.0516
2009-07-22,1,0.9169
2009-07-28,1,0.0
2009-08-04,1,0.5719
2009-08-11,1,0.0
2009-08-14,1,0.4767
2009-08-20,1,0.0
2009-08-21,1,-0.1531
2009-08-23,1,-0.1531
2009-08-29,1,0.0
2009-09-01,1,-0.101
2009-09-14,1,0.6705
2009-09-29,1,0.0
2009-10-05,1,0.0
2009-10-14,1,0.4215
2009-10-22,1,0.0
2009-10-27,1,0.807
2009-11-02,1,0.6369
2009-11-16,1,0.2732
2009-11-26,1,0.7089
2009-12-03,1,0.0
2009-12-23,1,0.9709
2010-01-12,1,0.8481
2010-01-15,1,0.0
2010-01-21,1,0.5574
2010-01-22,1,0.0
2010-02-07,1,0.9497
2010-02-10,1,0.0
2010-02-11,1,0.4576
2010-02-26,1,0.6113
2010-03-05,1,0.7906
2010-03-12,1,0.6369
2010-03-15,1,0.6249
2010-03-17,1,0.7717
2010-03-18,1,0.743
2010-03-19,1,0.8221
2010-03-23,1,0.7184
2010-03-24,1,0.3182
2010-03-29,1,0.0
2010-03-31,1,0.1695
2010-04-01,1,0.9217
2010-04-06,3,0.6281
2010-04-07,1,0.5574
2010-04-09,1,0.8641
2010-04-12,1,0.8689
2010-04-13,1,0.5994
